id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
jVjGKCZS/,jVjGKCZS14,14,13,Corner:  1. FSV Mainz 05. Conceded by Thomas Kessler.,2,,1,Mainz,FC Cologne,,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS15,15,14,Attempt missed. Jairo Samperio (1. FSV Mainz 05) right footed shot from outside the box is high and wide to the right following a corner.,1,,1,Mainz,FC Cologne,jairo samperio,,,,6.0,2.0,0,15.0,1.0,0,3.0,0
jVjGKCZS/,jVjGKCZS16,16,16,Corner:  1. FSV Mainz 05. Conceded by Christian Clemens.,2,,1,Mainz,FC Cologne,,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS17,17,17,Attempt blocked. Gaetan Bussmann (1. FSV Mainz 05) left footed shot from the left side of the box is blocked. Assisted by Pablo De Blasis.,1,12.0,1,Mainz,FC Cologne,gaetan bussmann,pablo de blasis,,,2.0,3.0,0,9.0,2.0,1,1.0,0
jVjGKCZS/,jVjGKCZS18,18,17,Anthony Modeste (1. FC Koln) wins a free kick in the defensive half.,8,,2,FC Cologne,Mainz,anthony modeste,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS19,19,17,Foul by Niko Bungert (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,niko bungert,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS20,20,23,Foul by Danny Latza (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,danny latza,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS21,21,23,Jonas Hector (1. FC Koln) wins a free kick in the defensive half.,8,,2,FC Cologne,Mainz,jonas hector,,,,,,0,2.0,,0,,0
jVjGKCZS/,jVjGKCZS22,22,24,Foul by Anthony Modeste (1. FC Koln).,3,,2,FC Cologne,Mainz,anthony modeste,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS23,23,24,Niko Bungert (1. FSV Mainz 05) wins a free kick in the attacking half.,8,,1,Mainz,FC Cologne,niko bungert,,,,,,0,1.0,,0,,0
jVjGKCZS/,jVjGKCZS24,24,27,Foul by Gaetan Bussmann (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,gaetan bussmann,,,,,,0,,,0,,0
jVjGKCZS/,jVjGKCZS25,25,27,Pawel Olkowski (1. FC Koln) wins a free kick on the right wing.,8,,2,FC Cologne,Mainz,pawel olkowski,,,,,,0,5.0,,0,,0
jVjGKCZS/,jVjGKCZS26,26,29,Anthony Modeste (1. FC Koln) wins a free kick on the left wing.,8,,2,FC Cologne,Mainz,anthony modeste,,,,,,0,4.0,,0,,0
jVjGKCZS/,jVjGKCZS27,27,29,Foul by Niko Bungert (1. FSV Mainz 05).,3,,1,Mainz,FC Cologne,niko bungert,,,,,,0,,,0,,0
